aX,aY,aZ,gX,gY,gZ
0.205,0.623,-0.956,423.950,27.588,76.355
0.096,0.684,-1.185,405.151,33.325,74.890
-0.014,0.735,-1.643,393.616,40.833,82.642
-0.143,0.717,-2.130,366.821,59.326,97.900
-0.289,0.737,-2.526,320.068,96.313,114.258
-0.398,0.786,-2.856,265.808,128.967,131.104
-0.395,0.792,-3.080,209.595,140.503,140.320
-0.270,0.714,-3.155,148.499,132.385,142.700
-0.041,0.580,-3.002,88.623,108.582,129.272
0.155,0.395,-2.679,31.799,61.584,95.276
0.331,0.147,-2.198,-18.494,8.911,55.420
0.450,-0.096,-1.670,-57.617,-25.269,19.348
0.487,-0.345,-1.129,-87.646,-42.725,-7.019
0.497,-0.569,-0.629,-106.323,-45.654,-22.644
0.448,-0.726,-0.239,-114.380,-34.241,-31.006
0.431,-0.824,-0.013,-109.192,-26.306,-33.508
0.374,-0.912,0.016,-91.187,-22.217,-30.823
0.311,-0.952,-0.093,-71.045,-20.508,-27.344
0.238,-0.945,-0.264,-55.908,-21.179,-25.085
0.185,-0.910,-0.429,-47.302,-21.606,-22.888
0.157,-0.844,-0.577,-43.457,-23.193,-21.729
0.144,-0.773,-0.705,-42.847,-27.771,-23.376
0.111,-0.720,-0.822,-44.739,-33.020,-27.222
0.086,-0.679,-0.908,-50.293,-37.170,-29.175
0.081,-0.649,-0.937,-61.035,-38.757,-27.039
0.095,-0.622,-0.914,-74.097,-35.400,-22.034
0.147,-0.602,-0.851,-85.876,-29.602,-16.235
0.228,-0.625,-0.748,-93.994,-23.193,-10.620
0.297,-0.680,-0.640,-98.755,-19.165,-7.812
0.345,-0.710,-0.563,-100.708,-22.705,-10.315
0.354,-0.719,-0.520,-98.938,-33.020,-15.991
0.342,-0.743,-0.530,-95.154,-44.006,-21.851
0.325,-0.757,-0.569,-94.116,-50.415,-26.855
0.287,-0.758,-0.596,-98.816,-50.537,-29.968
0.258,-0.752,-0.595,-107.727,-43.152,-30.151
0.248,-0.752,-0.576,-118.286,-31.494,-27.710
0.242,-0.749,-0.558,-129.272,-21.179,-24.231
0.252,-0.733,-0.543,-139.709,-13.977,-21.179
0.251,-0.711,-0.492,-146.240,-10.071,-21.667
0.253,-0.693,-0.423,-151.245,-6.836,-25.452
0.246,-0.705,-0.350,-153.564,-3.967,-29.053
0.234,-0.740,-0.279,-151.550,-2.136,-30.640
0.226,-0.759,-0.228,-148.132,-4.028,-30.579
0.225,-0.765,-0.174,-144.592,-8.728,-28.381
0.234,-0.781,-0.117,-142.334,-12.512,-26.184
0.242,-0.805,-0.073,-141.418,-15.198,-25.024
0.239,-0.818,-0.049,-140.442,-17.273,-25.391
0.225,-0.817,-0.040,-140.015,-17.822,-26.978
0.218,-0.823,-0.034,-142.151,-15.564,-29.114
0.208,-0.835,-0.020,-146.606,-11.292,-31.311
0.206,-0.861,-0.011,-153.748,-6.836,-33.081
0.170,-0.818,0.031,-160.095,-5.859,-31.372
0.157,-0.794,0.088,-161.011,-8.850,-32.471
