aX,aY,aZ,gX,gY,gZ
-1.385,1.975,0.423,-97.595,-89.600,-85.144
-1.286,1.767,0.639,-93.079,-86.975,-33.081
-0.940,1.638,0.738,-69.458,-74.463,13.123
-0.416,1.596,0.725,-37.415,-51.331,50.598
0.005,1.517,0.664,-12.817,-26.917,67.322
0.370,1.438,0.526,1.038,-21.118,54.749
0.496,1.344,0.390,3.418,-9.399,49.988
0.546,1.252,0.277,3.723,-0.366,44.312
0.606,1.176,0.207,2.930,0.916,34.790
0.605,1.109,0.191,-1.465,0.427,32.776
0.529,1.050,0.227,-8.728,-2.380,33.569
0.387,0.909,0.358,-13.977,-9.216,36.011
0.273,0.740,0.501,-12.878,-12.146,47.974
0.289,0.668,0.590,-2.441,-10.681,70.679
0.350,0.612,0.637,8.606,-12.695,88.196
0.334,0.519,0.684,15.503,-20.935,91.125
0.300,0.430,0.737,21.606,-29.114,84.778
0.280,0.350,0.764,29.114,-30.762,79.468
0.251,0.270,0.781,33.752,-27.100,72.327
0.235,0.236,0.802,35.400,-21.912,60.486
0.175,0.200,0.845,31.006,-16.602,47.974
0.103,0.150,0.875,24.109,-12.878,36.804
0.066,0.116,0.881,18.860,-10.620,29.663
0.029,0.084,0.891,15.564,-10.315,25.269
-0.016,0.044,0.916,11.108,-14.771,20.691
-0.062,0.016,0.955,7.690,-20.874,18.860
-0.079,0.021,0.973,7.751,-26.733,19.348
-0.071,0.040,1.005,11.230,-31.799,18.677
-0.085,0.055,1.026,12.817,-33.447,19.653
-0.104,0.077,1.033,14.160,-29.663,17.334
-0.133,0.123,1.047,16.846,-22.400,9.216
-0.162,0.142,1.053,23.132,-12.268,-0.305
-0.172,0.156,1.047,25.757,-1.404,-8.789
-0.187,0.155,1.041,22.156,6.165,-16.357
-0.220,0.116,1.054,15.198,9.033,-21.973
-0.239,0.075,1.062,8.545,8.240,-23.499
-0.234,0.067,1.076,2.258,4.150,-18.494
-0.218,0.093,1.090,-0.061,-1.038,-12.207
-0.197,0.139,1.105,-0.305,-5.249,-7.324
-0.182,0.175,1.121,-1.892,-6.958,-5.493
-0.181,0.210,1.146,-2.502,-6.165,-6.897
-0.186,0.265,1.211,0.183,-3.113,-10.132
-0.206,0.297,1.240,1.892,5.859,-14.099
-0.193,0.295,1.238,5.432,15.320,-18.616
-0.197,0.296,1.220,10.742,19.287,-20.630
-0.209,0.328,1.187,17.639,19.043,-20.386
-0.217,0.339,1.125,20.752,17.761,-19.836
-0.212,0.320,1.080,20.630,16.663,-17.883
-0.201,0.335,1.046,18.066,13.367,-14.465
-0.177,0.348,1.026,13.977,7.690,-10.681
-0.154,0.340,0.997,7.446,2.441,-8.240
-0.143,0.329,1.000,0.732,-1.526,-7.080
-0.140,0.341,1.005,-4.028,-4.883,-5.615
-0.147,0.346,1.024,-5.981,-6.714,-3.967
-0.160,0.339,1.045,-6.592,-6.897,-1.526
-0.165,0.333,1.049,-4.395,-5.432,2.747
-0.146,0.331,1.019,2.319,-3.418,5.615
-0.131,0.346,0.988,8.301,-3.479,7.629
-0.113,0.368,0.956,11.475,-4.517,9.216
-0.102,0.371,0.928,11.047,-5.493,9.399
-0.091,0.370,0.906,9.155,-6.653,8.179
-0.085,0.376,0.888,6.104,-7.324,7.507
-0.074,0.391,0.888,2.441,-6.409,5.676
-0.077,0.396,0.884,-2.075,-4.028,2.991
-0.080,0.379,0.894,-5.859,-1.038,0.366
-0.090,0.378,0.899,-8.545,1.587,-2.075
