aX,aY,aZ,gX,gY,gZ
1.775,0.918,0.805,-10.681,89.905,179.504
1.773,0.882,0.870,-1.892,78.735,149.292
1.765,0.816,0.899,10.315,71.289,117.798
1.742,0.869,0.859,15.503,64.209,92.224
1.644,0.771,0.828,17.883,78.674,80.994
1.584,0.742,0.817,24.475,55.603,56.702
1.463,0.721,0.804,24.658,28.503,33.997
1.321,0.672,0.820,14.709,15.869,24.231
1.209,0.647,0.830,7.935,13.062,19.531
1.127,0.662,0.850,6.226,8.057,14.404
1.029,0.658,0.877,4.089,3.052,2.747
0.949,0.642,0.894,1.526,3.174,-8.972
0.878,0.632,0.906,1.831,3.967,-20.264
0.814,0.621,0.908,5.615,1.648,-33.203
0.756,0.629,0.899,9.338,-2.808,-47.424
0.648,0.563,0.908,10.925,-9.521,-66.895
0.578,0.560,0.907,8.118,-15.564,-80.017
0.504,0.556,0.889,1.831,-13.550,-78.430
0.468,0.526,0.876,-4.578,-14.954,-83.008
0.441,0.495,0.889,-8.118,-23.071,-91.125
0.375,0.486,0.917,-9.216,-31.372,-93.872
0.359,0.471,0.918,-9.399,-32.776,-90.576
0.325,0.454,0.917,-4.761,-36.682,-85.999
0.334,0.445,0.905,-2.563,-43.823,-87.341
0.328,0.432,0.896,-2.258,-46.936,-89.172
0.331,0.425,0.886,-1.526,-50.232,-92.529
0.337,0.417,0.866,-1.099,-52.856,-97.046
0.340,0.409,0.850,-1.831,-54.382,-102.356
0.318,0.410,0.847,-2.930,-55.481,-109.497
0.260,0.436,0.884,-3.479,-55.115,-115.662
0.215,0.442,0.934,-2.563,-51.880,-117.676
0.206,0.434,0.958,-1.282,-46.326,-115.112
0.205,0.435,0.962,1.404,-43.213,-110.657
0.205,0.439,0.951,4.272,-45.349,-106.201
0.193,0.427,0.929,5.493,-51.880,-101.563
0.173,0.407,0.899,5.432,-59.937,-96.252
0.158,0.396,0.863,5.737,-66.956,-92.346
0.172,0.391,0.830,5.371,-72.205,-91.064
0.166,0.380,0.807,2.930,-76.965,-92.712
0.143,0.363,0.799,0.305,-80.688,-97.290
0.120,0.360,0.793,-0.732,-80.994,-102.539
0.062,0.382,0.813,0.000,-76.843,-106.995
-0.004,0.417,0.848,0.122,-69.885,-110.229
-0.048,0.424,0.887,-1.892,-60.425,-110.779
-0.064,0.412,0.919,-3.235,-51.270,-106.201
-0.053,0.406,0.921,-1.343,-45.593,-98.572
-0.044,0.407,0.902,0.916,-45.288,-91.248
-0.061,0.415,0.882,2.380,-50.049,-85.938
-0.072,0.413,0.864,2.686,-55.847,-81.726
-0.071,0.406,0.837,1.831,-60.425,-77.454
-0.073,0.397,0.810,-0.549,-63.232,-72.998
-0.076,0.389,0.794,-4.456,-65.186,-69.275
-0.070,0.380,0.787,-8.850,-65.186,-66.833
-0.078,0.367,0.794,-14.160,-64.392,-66.284
-0.094,0.354,0.822,-17.944,-62.683,-67.261
-0.126,0.359,0.863,-18.188,-59.570,-68.787
-0.145,0.381,0.904,-15.381,-54.260,-68.665
-0.144,0.395,0.937,-11.475,-48.096,-66.956
-0.139,0.391,0.952,-7.568,-43.518,-64.514
-0.131,0.392,0.950,-4.578,-41.504,-61.646
-0.116,0.383,0.937,-2.625,-42.480,-59.631
-0.102,0.379,0.920,-1.282,-44.922,-58.838
-0.090,0.367,0.900,-2.808,-48.218,-56.213
-0.091,0.336,0.889,-5.981,-52.124,-54.382
-0.101,0.321,0.885,-7.629,-55.298,-54.016
-0.108,0.322,0.877,-8.911,-55.481,-54.382
-0.118,0.318,0.875,-10.620,-52.368,-56.274
-0.115,0.315,0.882,-12.878,-47.058,-58.533
-0.140,0.331,0.890,-14.526,-40.649,-61.218
-0.140,0.316,0.926,-13.855,-34.668,-65.857
-0.174,0.344,0.955,-13.611,-26.855,-67.749
-0.181,0.366,0.958,-11.719,-17.944,-66.650
-0.160,0.354,0.977,-11.108,-13.977,-63.660
-0.147,0.348,0.973,-12.756,-13.855,-60.425
-0.136,0.358,0.959,-11.230,-16.663,-57.739
-0.138,0.366,0.949,-10.803,-22.217,-55.420
-0.137,0.359,0.942,-10.803,-28.198,-53.894
-0.134,0.366,0.928,-10.681,-32.227,-51.697
-1.448,0.948,1.099,48.950,2.625,80.872
-1.607,0.990,1.044,58.655,3.906,108.276
-1.680,0.976,0.938,65.796,4.578,141.052
-1.699,0.933,0.841,65.918,0.061,174.500
-1.682,0.837,0.688,61.584,-0.122,204.651
-1.567,0.752,0.551,56.763,7.019,231.995
-1.427,0.677,0.417,48.828,19.897,258.362
-1.252,0.637,0.293,40.833,35.950,282.410
-1.076,0.636,0.239,27.710,52.612,304.565
-0.818,0.644,0.205,13.977,70.862,323.303
-0.524,0.668,0.180,2.625,87.585,336.487
-0.268,0.673,0.208,-9.949,99.365,343.323
-0.017,0.664,0.279,-19.653,107.056,343.567
0.207,0.686,0.338,-24.048,114.319,338.379
0.362,0.703,0.378,-29.358,121.948,327.087
0.440,0.685,0.423,-35.095,126.709,309.998
0.544,0.678,0.402,-35.522,130.981,291.809
